Time,A4260594,A4260644,A4260703,A4261023,A4261024,A4261107,A4261108,A4261160,A4261168,A4261224,A4261255,A4261263
8/02/2013,,,,,,8.07,,,,7.85,,
9/02/2013,,,,,,8.07,,,,7.86,,
10/02/2013,,,,,,7.94,,,,7.88,,
11/02/2013,,,,,,8.12,,,,7.96,,
12/02/2013,,,,,,8.38,,,,8.18,,
13/02/2013,,,,,,8.4,,,,8.32,,
14/02/2013,,,,,,8.28,,,,8.24,,
15/02/2013,,,,,,8.03,,,,8.06,,
16/02/2013,,,,,,8.09,,,,7.97,,
17/02/2013,,,,,,8.09,,,,8.02,,
18/02/2013,,,,,,7.93,,,,8.01,,
19/02/2013,,,,,,7.8,,,,7.93,,
20/02/2013,,,,,,7.84,,,,7.85,,
21/02/2013,,,,,,7.96,,,,7.96,,
22/02/2013,,,,,,7.87,,,,8.06,,
23/02/2013,,,,,,7.57,,,,7.79,,
24/02/2013,,,,,,7.71,,,,7.79,,
25/02/2013,,,,,,7.84,,,,7.94,,
26/02/2013,,,,,,7.72,,,,7.97,,
27/02/2013,,,,,,7.91,,,,7.88,,
28/02/2013,,,,,,7.76,,,,7.93,,
1/03/2013,,,,,,8.12,,,,8.03,,
2/03/2013,,,,,,8.53,,,,8.42,,
3/03/2013,,,,,,8.65,,,,8.67,,
4/03/2013,,,,,,8.61,,,,8.73,,
5/03/2013,,,,,,8.53,,,,8.62,,
6/03/2013,,,,,,8.44,,,,8.53,,
7/03/2013,,,,,,8.22,,,,8.44,,
8/03/2013,,,,,,7.98,,,,8.1,,
9/03/2013,,,,,,7.97,,,,8.06,,
10/03/2013,,,,,,7.81,,,,8.04,,
11/03/2013,,,,,,7.77,,,,7.82,,
12/03/2013,,,,,,7.77,,,,7.88,,
13/03/2013,,,,,,7.8,,,,7.93,,
14/03/2013,,,,,,7.83,,,,7.87,,
15/03/2013,,,,,,8.19,,,,7.97,,
16/03/2013,,,,,,8.29,,,,8.29,,
17/03/2013,,,,,,8.25,,,,8.45,,
18/03/2013,,,,,,8.65,,,,8.71,,
