Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
17.2,0,0,0,32,0
17.4,0,0,0,260,0
17.6,0,0,0,420,0
17.8,0,0,0,608,0
18,0,0,0,860,0
18.2,0,0,0,488148,12
18.4,0,0,3.944066,2339427,45.28615
18.6,0,0,775.2698,2858236.154,5268.5531
18.8,0,0,2545.424,3075040.843,43897.736
19,1797.649,0,3968.24,3165898.981,128242.162
19.2,7703.467,0,4618.369,3216971.904,298943.199
19.4,12981.751,0,5739.724,3232163.758,497355.189
19.6,19178.04,0,22813.33,3240498.03,721270.19
19.8,30295.84,0,59966.96,3293675.1,1080037.42
20,82272.34,0,83585.51,3408697.55,1508229.82
20.2,142425.78,0,86394.54,3457303.91,1792209.45
20.4,168364.94,0,86714.72,3498315.29,1965202.26
20.6,200943.3,0,86746.9,3538974.6,2077720.4
20.8,272661.4,0,86746.9,3576019.1,2164694.5
21,306267.5,0,86746.9,3586880.4,2234622.8
21.2,309570.9,0,86746.9,3594241.9,2293010.4
21.4,309793.3,0,86746.9,3600641.2,2344281.5
21.6,309825.9,0,86746.9,3615588.1,2394546.2
21.8,309825.9,0,86746.9,3629040.6,2436487.8
22,309825.9,0,86746.9,3643279.2,2469303.4
22.2,309825.9,0,86746.9,3663009.3,2490880.6
22.4,309825.9,0,86746.9,3678652.5,2502411
22.6,309825.9,0,86746.9,3693474.7,2509861.5
22.8,309825.9,0,86746.9,3701390.4,2514713
23,309825.9,0,86746.9,3705191.5,2517260.3
