Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
17.0,1776.126,   0.000,   0.000,5990.549,  16.000
17.2, 3392.3127,    0.0000,    0.0000,13732.8204,  427.9997
17.4, 5377.045,    0.000,    0.000,27673.869, 4144.806
17.6, 7915.818,    0.000,    0.000,43091.683,17024.220
17.8,10676.309, 1085.765,    0.000,55260.495,35613.152
18.0, 13280.54, 14604.85,     0.00,347821.11, 51151.93
18.2,1.643900e+04,8.889710e+04,3.124085e+01,1.819564e+06,6.990668e+04
18.4,  29370.875, 392095.651,   9771.587,2255461.274,  95301.888
18.6, 127919.36, 470963.96,  37825.08,2435150.22, 133732.26
18.8, 550914.81, 476561.48,  71915.28,2519054.16, 197473.51
19.0,1074672.87, 477100.33,  88074.21,2572179.58, 247223.73
19.2,1359277.6, 478882.1, 111103.1,2643061.2, 296456.4
19.4,1557638.2, 489921.1, 139004.2,2703801.8, 334460.6
19.6,1721005.7, 503468.2, 176284.6,2738490.7, 374562.7
19.8,1899715.9, 506852.7, 291950.5,2775625.2, 475263.6
20.0,2120726.3, 507008.7, 413172.3,2843246.8, 541612.8
20.2,2274929.5, 507008.7, 430226.6,2948725.1, 583305.7
20.4,2400459.0, 507008.7, 444528.5,2994800.0, 625085.0
20.6,2504554.0, 507008.7, 445931.4,3031172.3, 666582.8
20.8,2600950.9, 507008.7, 445979.4,3052407.5, 694312.8
21.0,2662781.8, 507008.7, 445987.4,3057809.5, 717875.3
21.2,2695955.2, 507008.7, 445991.4,3058745.1, 731138.8
21.4,2712022.6, 507008.7, 445991.4,3058932.1, 737887.2
21.6,2719139.9, 507008.7, 445991.4,3058964.6, 739433.1
21.8,2724629.2, 507008.7, 445991.4,3058984.1, 739445.1
22.0,2728559.5, 507008.7, 445991.4,3059022.3, 739445.1
22.2,2730789.0, 507008.7, 445991.4,3059056.1, 739445.1
22.4,2732062.5, 507008.7, 445991.4,3059056.2, 739445.1
22.6,2732729.1, 507008.7, 445991.4,3059056.2, 739445.1
22.8,2733077.9, 507008.7, 445991.4,3059056.2, 739445.1
23.0,2733267.1, 507008.7, 445991.4,3059056.2, 739445.1
