Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
18.9,0,0,4328.94986,22717.57365,40.26702
19,197.8613,0,52452.7597,366393.7644,4397.6838
19.2,2686.412,0,64643.466,401662.069,7091.788
19.4,8092.367,0,65332.829,416027.844,13669.922
19.6,23796.622,1057.668,65340.829,420900.755,21234.329
19.8,41813.83,4098.874,65340.829,422057.871,25798.279
20,52676.131,7113.753,65340.829,423880.651,29654.437
20.2,61478.385,9002.171,65340.829,427311.59,31686.363
20.4,70153.56,10523.53,65340.83,432317.79,33415.85
20.6,78104.68,12212.68,65340.83,434505.49,34317.27
20.8,85469.44,13741.9,65340.83,435521.32,34577.25
21,91983.32,15221.39,65340.83,436063.86,34793.75
21.2,96202.26,16944.72,65340.83,436340.71,34870.33
21.4,98868.13,18596.42,65340.83,436445.17,34871.27
21.6,101162.26,20431.91,65340.83,436498.2,34871.27
21.8,103150.77,21808.51,65340.83,436527.67,34871.27
22,104351.56,22388.42,65340.83,436527.67,34871.27
22.2,105159.93,22562.63,65340.83,436527.67,34871.27
22.4,105711.33,22632.65,65340.83,436527.67,34871.27
22.6,106078.97,22670.92,65340.83,436527.67,34871.27
22.8,106336.98,22705.19,65340.83,436536.83,34871.27
23,106495.15,22759.81,65340.83,436549.48,34871.27
