Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
17.0,  0.0000,  0.0000,  0.0000,467.0861,335.6708
17.2,    0.0000,    0.0000,    0.0000,10687.4818,  451.2779
17.4,    0.0000,    0.0000,    0.0000,28290.1088,  962.5934
17.6,    0.000,    0.000,    0.000,35660.319, 6624.889
17.8,    0.00,    0.00,    0.00,74319.54,18755.87
18.0,   993.9535,     0.0000,   117.4782,115363.6407, 40321.5212
18.2,  3882.043,     0.000,  2936.293,123148.027, 61931.272
18.4,  7864.351,     0.000,  6348.745,141198.191, 83094.880
18.6, 19414.83,     0.00, 25706.06,257243.60,120301.96
18.8, 54809.82,     0.00, 45826.77,377723.62,178057.60
19.0,102378.80,     0.00, 60443.01,447101.28,229104.43
19.2,152498.12,     0.00, 71717.14,489380.86,272456.63
19.4,198805.37,     0.00, 88153.28,529561.34,306497.74
19.6,244903.24,     0.00, 97891.03,587569.66,334007.01
19.8,306836.8,     0.0,104219.1,733784.6,361559.3
20.0,434618.2,     0.0,109202.7,946633.7,391422.3
20.2, 578643.7,      0.0, 109324.1,1041668.6, 431406.9
20.4, 776934.6,      0.0, 109324.1,1064090.4, 467364.4
20.6,1080820.3,      0.0, 109324.1,1065369.7, 497862.5
20.8,1221403.4,      0.0, 109324.1,1065719.4, 519086.1
21.0,1290939.2,      0.0, 109324.1,1066071.2, 533407.4
21.2,1329451.8,      0.0, 109324.1,1066509.3, 540617.6
21.4,1335491.0,      0.0, 109324.1,1067605.9, 545158.4
21.6,1336322.7,      0.0, 109324.1,1069305.5, 549448.5
21.8,1336990.9,      0.0, 109324.1,1070938.4, 552337.9
22.0,1337670.6,      0.0, 109324.1,1072141.9, 554411.2
22.2,1337943.4,      0.0, 109324.1,1073476.8, 556377.6
22.4,1337975.8,      0.0, 109324.1,1076509.8, 557604.6
22.6,1337983.9,      0.0, 109324.1,1078490.9, 557925.2
22.8,1337983.9,      0.0, 109324.1,1078815.0, 557960.1
23.0,1337983.9,      0.0, 109324.1,1078815.0, 557960.1
