Grouping,Blackbox,HighShrub,Lignum,LowShrub,Redgum
17.0,    0.000,    0.000,    0.000, 2237.667,18295.379
17.2,    0.000,    0.000,    0.000, 4078.869,22899.643
17.4,    0.000,    0.000,    0.000, 9485.621,30471.279
17.6,    0.0000,    0.0000,  228.3933,25010.6546,39587.8066
17.8, 1278.767,    0.000,14356.757,40736.820,53981.392
18.0, 7662.93628,   19.26074,54803.19880,53023.19770,70741.21816
18.2, 13638.3824,   191.0534,130356.5488, 81249.7197, 88845.2661
18.4, 20000.9932,   471.0124,239119.5563,136528.8691,104985.3001
18.6, 31369.0626,   712.7255,745249.4144,302913.2404,126093.6937
18.8,  57259.5517,    992.1627,1243405.6714, 703288.5370, 170975.7889
19.0, 145091.202,   1259.267,1728460.407,1028992.808, 235540.789
19.2, 343884.936,   1558.337,2197085.248,1205637.358, 276997.513
19.4, 630811.593,   1856.318,2698635.405,1349953.145, 311806.630
19.6, 877074.823,   2225.924,3161394.364,1612061.339, 349520.649
19.8,1143030.275,   2678.864,3408125.132,2066719.795, 381551.590
20.0,1467901.328,   3234.914,3469914.709,2374447.226, 409564.421
20.2,1865491.940,   4427.066,3473313.514,2594439.963, 424779.039
20.4,2191874.81,  35522.71,3474465.68,2850679.69, 439597.41
20.6,2612350.1,  82266.8,3474746.2,3079922.5, 451298.4
20.8,3041516.7, 159858.6,3474790.4,3291816.2, 456891.9
21.0,3381171.4, 247661.1,3474814.5,3412808.3, 458476.4
21.2,3600873.2, 284488.0,3474829.1,3465503.5, 459059.2
21.4,3769522.6, 293182.8,3474829.1,3499295.5, 459310.9
21.6,3893126.3, 295975.9,3474829.1,3526463.1, 459390.2
21.8,3966516.5, 298011.5,3474829.1,3564405.2, 459390.2
22.0,4002516.3, 302145.2,3474829.1,3605026.9, 459390.2
22.2,4018427.5, 306874.6,3474829.1,3621643.9, 459390.2
22.4,4024226.3, 309702.3,3474829.1,3630944.6, 459390.2
22.6,4027408.5, 311156.5,3474829.1,3638751.4, 459390.2
22.8,4029880.4, 312264.5,3474829.1,3644416.7, 459390.2
23.0,4031367.2, 313148.8,3474829.1,3646851.2, 459390.2
